Station ID,Latitude,Longitude,City,Availability,Distance to City (km),Usage Stats (avg users/day),Station Operator,Charging Capacity (kW),Connector Types,Installation Year,Renewable Energy Source,Reviews (Rating),Parking Spots,Maintenance Frequency
EVS00047,19.055518,72.88937, Leipzig,24-Jul,19.4,68,Ionity,50,"CCS, Tesla",2021,Yes,3,9,Quarterly
EVS00048,-33.786133,151.295304, München,24-Jul,2.31,56,ChargePoint,150,CHAdeMO,2022,No,3.5,4,Annually
EVS00049,41.878593,-87.69892, Hamburg,9:00-18:00,19.26,40,ChargePoint,150,"CHAdeMO, CCS",2011,Yes,3.8,8,Monthly
EVS00050,34.18596,-118.347082,Frankfurt,24-Jul,2.49,26,ChargePoint,150,Tesla,2023,Yes,4.3,9,Monthly
EVS00051,68.997157,173.396684, Berlin,24-Jul,2.29,75,EVgo,50,CHAdeMO,2022,No,5,9,Annually
EVS00052,52.424113,13.37999, Berlin,9:00-18:00,8.56,50,ChargePoint,50,"CHAdeMO, CCS",2011,No,3.4,3,Monthly
EVS00053,55.720058,37.598246, Hamburg,9:00-18:00,3.09,79,Greenlots,22,"CCS, Tesla",2017,No,3.8,4,Annually
EVS00054,41.948302,-87.718438, Hamburg,24-Jul,1.98,79,Ionity,50,CHAdeMO,2016,Yes,4.7,4,Annually
EVS00055,37.5231,127.072447, Stuttgart,24-Jul,9.16,19,Tesla,150,CHAdeMO,2013,Yes,3.5,5,Quarterly
EVS00056,19.118476,72.956977, Leipzig,6:00-22:00,11.91,50,ChargePoint,150,CCS,2013,Yes,4.2,4,Quarterly
EVS00057,25.283465,55.264578, Köln,9:00-18:00,15.85,67,Greenlots,50,CHAdeMO,2018,No,4.5,8,Quarterly
EVS00058,37.601252,127.028633, Stuttgart,9:00-18:00,13.14,71,EVgo,150,"Tesla, CCS",2012,Yes,4,4,Monthly
EVS00059,41.959182,-87.684862, Hamburg,24-Jul,6.73,13,EVgo,350,CHAdeMO,2022,No,3.5,9,Quarterly
EVS00060,41.801381,-87.620772, Hamburg,9:00-18:00,6.78,26,Tesla,22,Tesla,2010,Yes,3.1,4,Monthly
EVS00061,35.844347,28.705089, Köln,9:00-18:00,14.4,75,Ionity,22,Tesla,2020,No,4.6,4,Quarterly
EVS00062,-33.733482,18.441992, Stuttgart,6:00-22:00,0.68,68,Greenlots,50,Type 2,2023,Yes,4.9,8,Quarterly
EVS00063,41.970902,-87.795455, Hamburg,9:00-18:00,0.96,49,Greenlots,350,Type 2,2018,No,3.8,9,Annually
EVS00064,43.73349,-79.340516, Stuttgart,24-Jul,5.16,31,Ionity,22,Tesla,2018,Yes,3.3,4,Annually
EVS00065,25.387104,55.376848, Köln,24-Jul,6.58,67,Greenlots,350,"CCS, Type 2",2019,No,4.8,7,Quarterly
EVS00066,-33.877766,151.208813, München,24-Jul,13.68,31,EVgo,350,Tesla,2013,Yes,3.6,3,Monthly
EVS00067,37.685854,126.915749, Stuttgart,24-Jul,8.37,20,Greenlots,150,CHAdeMO,2020,Yes,3,3,Monthly
EVS00068,39.924519,116.33618, Leipzig,24-Jul,11.72,43,Tesla,350,"CHAdeMO, Type 2",2015,No,4.5,3,Quarterly
EVS00069,25.358698,55.306683, Köln,6:00-22:00,4.71,13,Ionity,50,"Tesla, CCS",2016,Yes,3.9,8,Monthly
EVS00070,34.130318,-118.265518,Frankfurt,6:00-22:00,8.75,31,ChargePoint,150,Tesla,2020,No,4.4,10,Quarterly
EVS00071,81.083548,138.025159, Hamburg,9:00-18:00,11.03,19,Greenlots,50,CCS,2017,Yes,4,3,Monthly
EVS00072,-33.796979,18.591207, Stuttgart,9:00-18:00,4.17,37,Tesla,22,CHAdeMO,2020,Yes,4.9,6,Quarterly
EVS00073,34.001771,-118.315113,Frankfurt,9:00-18:00,2.35,99,Ionity,22,CCS,2016,No,4.4,2,Monthly
EVS00074,39.839933,116.357848, Leipzig,24-Jul,14.31,80,Ionity,350,"Type 2, CHAdeMO",2018,No,4.7,10,Monthly
EVS00075,39.818753,116.437967, Leipzig,6:00-22:00,11.68,46,Greenlots,22,CCS,2017,Yes,4.6,1,Annually
EVS00076,-23.531806,-46.657324, Frankfurt,24-Jul,12.25,12,Tesla,50,CCS,2022,Yes,3.1,8,Monthly
EVS00077,13.764058,100.543192, Berlin,9:00-18:00,13.81,15,Greenlots,22,CCS,2023,Yes,5,10,Monthly
EVS00078,-33.756344,151.215081, München,24-Jul,8.41,100,ChargePoint,350,Tesla,2017,Yes,3.1,5,Monthly
EVS00079,18.95993,72.979858, Leipzig,6:00-22:00,10.44,75,ChargePoint,350,"CHAdeMO, Tesla",2022,Yes,4.6,2,Annually
EVS00080,34.174544,-118.206495,Frankfurt,24-Jul,19.25,99,EVgo,150,"CHAdeMO, Tesla",2021,Yes,3.7,4,Annually
EVS00081,-48.226753,-41.530541, Köln,9:00-18:00,5.63,91,EVgo,350,CHAdeMO,2023,No,4.1,10,Annually
EVS00082,19.523567,-99.039919, München,24-Jul,16.79,31,EVgo,50,Type 2,2023,Yes,3.5,4,Quarterly
EVS00083,-33.791097,18.432514, Stuttgart,6:00-22:00,16.47,32,Ionity,350,Tesla,2014,Yes,3.8,8,Quarterly
EVS00084,55.80858,37.561068, Hamburg,6:00-22:00,13.67,82,ChargePoint,150,Tesla,2010,Yes,3.8,1,Monthly
EVS00085,41.848181,-87.613822, Hamburg,6:00-22:00,8.18,40,Tesla,50,Tesla,2012,Yes,4.9,9,Monthly
EVS00086,39.905622,116.394232, Leipzig,24-Jul,16.11,99,Tesla,50,"CHAdeMO, Type 2",2011,Yes,4.6,8,Monthly
EVS00087,41.825261,-87.749237, Hamburg,6:00-22:00,3.17,91,EVgo,50,Type 2,2019,No,4.5,10,Monthly
EVS00088,-33.738647,18.566822, Stuttgart,6:00-22:00,19.09,68,Ionity,350,Type 2,2022,No,4.4,6,Monthly
EVS00089,43.633114,-79.440012, Stuttgart,9:00-18:00,3.08,99,ChargePoint,50,CHAdeMO,2018,No,3.7,6,Quarterly
EVS00090,55.816399,37.517124, Hamburg,6:00-22:00,14.45,11,EVgo,150,"Type 2, Tesla",2016,Yes,4.2,3,Quarterly
EVS00091,34.909016,103.164075, Frankfurt,24-Jul,11.59,98,Ionity,150,Tesla,2015,Yes,4.3,10,Monthly
EVS00092,37.737894,-122.413068, Stuttgart,24-Jul,13.83,58,EVgo,350,"Tesla, CCS",2018,Yes,3.7,3,Annually
EVS00093,52.458154,13.383548, Berlin,9:00-18:00,6.63,18,Greenlots,350,"CHAdeMO, Type 2",2022,Yes,4.9,8,Annually
EVS00094,52.459482,13.420488, Berlin,9:00-18:00,5.57,79,Tesla,50,CCS,2018,Yes,3.5,7,Monthly
EVS00095,13.875159,100.507561, Berlin,6:00-22:00,10.97,67,Greenlots,22,CHAdeMO,2021,No,3.9,3,Quarterly
EVS00096,-23.603702,-46.520629, Frankfurt,24-Jul,18.49,85,ChargePoint,50,"Type 2, CHAdeMO",2014,Yes,4.9,2,Monthly
EVS00097,34.036969,-118.348881,Frankfurt,24-Jul,9.05,25,Tesla,22,"CCS, CHAdeMO",2020,Yes,4.5,5,Quarterly
EVS00098,39.85934,116.359182, Leipzig,6:00-22:00,10.82,85,Tesla,350,"CHAdeMO, Type 2",2023,No,3.8,5,Quarterly
EVS00099,25.264785,55.343229, Köln,9:00-18:00,4.43,17,Tesla,350,"Type 2, CCS",2015,Yes,3.9,8,Quarterly
EVS00100,37.568724,126.962294, Stuttgart,9:00-18:00,3,54,ChargePoint,150,Type 2,2018,No,4.8,10,Monthly
EVS00101,10.942627,125.16781, Köln,24-Jul,3.06,22,ChargePoint,50,Tesla,2013,Yes,3.2,1,Quarterly
EVS00102,39.937451,116.323201, Leipzig,24-Jul,17.81,41,Ionity,22,"CHAdeMO, Type 2",2023,No,3.2,4,Monthly
EVS00103,37.64878,126.903295, Stuttgart,9:00-18:00,8.26,20,Greenlots,22,Type 2,2010,No,3.3,7,Monthly
EVS00104,43.737898,-79.330018, Stuttgart,6:00-22:00,19.64,93,Ionity,22,"CCS, Tesla",2020,No,3.4,5,Annually
EVS00105,19.587423,-99.072921, München,24-Jul,3.62,76,EVgo,150,Type 2,2018,No,4.4,10,Quarterly
EVS00106,19.521945,-99.049855, München,9:00-18:00,0.56,47,ChargePoint,350,Type 2,2012,No,3.2,1,Monthly
EVS00107,-33.733347,18.455827, Stuttgart,6:00-22:00,12.84,96,ChargePoint,22,Tesla,2011,No,4.8,7,Annually
EVS00108,18.97956,72.963574, Leipzig,6:00-22:00,3.14,43,Tesla,350,CCS,2020,Yes,5,7,Annually
EVS00109,55.723104,37.652898, Hamburg,24-Jul,17.93,62,Ionity,50,CCS,2018,No,3.3,7,Quarterly
EVS00110,39.857604,116.357044, Leipzig,9:00-18:00,3.73,68,EVgo,350,"CHAdeMO, Type 2",2018,Yes,4.3,9,Quarterly
EVS00111,-16.299957,56.504931, München,6:00-22:00,7.14,43,Ionity,350,Type 2,2010,Yes,3.2,7,Quarterly
EVS00112,41.902876,-87.633567, Hamburg,6:00-22:00,2.2,48,Greenlots,50,Tesla,2017,Yes,4.1,2,Quarterly
EVS00113,13.76324,100.555092, Berlin,24-Jul,17.19,22,ChargePoint,150,"CCS, CHAdeMO",2014,Yes,3.2,10,Annually
EVS00114,19.085914,72.847076, Leipzig,6:00-22:00,18.54,19,ChargePoint,50,"Tesla, Type 2",2022,Yes,3.5,9,Quarterly
EVS00115,37.614963,127.071672, Stuttgart,6:00-22:00,9.12,59,Greenlots,50,"Tesla, Type 2",2018,No,3.4,4,Monthly
EVS00116,41.945245,-87.702684, Hamburg,6:00-22:00,1.96,57,ChargePoint,50,Tesla,2017,Yes,4.9,1,Annually
EVS00117,39.964943,116.356573, Leipzig,6:00-22:00,6.45,44,Ionity,22,"CHAdeMO, CCS",2010,No,4.1,7,Annually
EVS00118,25.364988,55.308793, Köln,24-Jul,13.63,89,Tesla,22,CCS,2015,No,4.4,8,Quarterly
EVS00119,25.327731,55.265229, Köln,9:00-18:00,18.85,44,Greenlots,50,"CCS, CHAdeMO",2017,Yes,3.9,6,Monthly
EVS00120,-33.752322,151.290734, München,24-Jul,11.27,62,Tesla,150,"Type 2, CHAdeMO",2023,No,3.1,9,Annually
EVS00121,-39.773789,-118.454132, Berlin,24-Jul,6.67,92,Tesla,150,"CCS, Type 2",2017,Yes,3.6,3,Annually
EVS00122,34.006015,-118.340642,Frankfurt,9:00-18:00,18.6,57,Greenlots,50,CCS,2021,Yes,3.3,2,Monthly
EVS00123,-23.632022,-46.571271, Frankfurt,6:00-22:00,7.71,62,Tesla,50,Type 2,2021,Yes,3.7,7,Quarterly
EVS00124,55.879507,37.662621, Hamburg,24-Jul,8.61,83,EVgo,50,"Tesla, CHAdeMO",2019,Yes,4.5,6,Monthly
EVS00125,-33.85476,151.300876, München,6:00-22:00,14.6,33,Tesla,50,"CHAdeMO, CCS",2022,No,3.1,1,Monthly
EVS00126,37.532948,127.008718, Stuttgart,24-Jul,14.8,45,Tesla,150,"Type 2, Tesla",2021,Yes,4.3,10,Annually
EVS00127,19.432658,-99.086061, München,6:00-22:00,5.86,49,Ionity,22,CCS,2012,No,4.2,8,Quarterly
EVS00128,-33.872186,151.346868, München,24-Jul,15.95,71,Ionity,50,CCS,2013,No,4.1,6,Annually
EVS00129,39.916791,116.267198, Leipzig,6:00-22:00,11.77,66,Ionity,22,"CCS, Type 2",2021,Yes,4.3,4,Quarterly
EVS00130,41.933882,-87.634607, Hamburg,24-Jul,10.65,58,EVgo,150,CCS,2013,Yes,4,4,Annually
EVS00131,32.988859,32.234936, München,6:00-22:00,16.3,28,Tesla,50,CCS,2012,Yes,4.5,1,Annually
EVS00132,41.968075,-87.730962, Hamburg,9:00-18:00,4.99,32,EVgo,150,CCS,2016,No,4.9,1,Quarterly
EVS00133,25.312641,55.273931, Köln,6:00-22:00,2.45,37,EVgo,22,Tesla,2014,Yes,4.8,4,Monthly
EVS00134,41.847635,-87.753595, Hamburg,24-Jul,9.03,26,Greenlots,50,"Tesla, CCS",2017,No,4.5,8,Monthly
EVS00135,19.053562,72.835112, Leipzig,6:00-22:00,6.6,45,Greenlots,350,"Tesla, Type 2",2017,No,4.3,10,Quarterly
EVS00136,-33.885375,151.309019, München,6:00-22:00,5.92,30,Tesla,350,"CHAdeMO, Tesla",2010,No,4.6,4,Quarterly
EVS00137,-33.762238,18.497402, Stuttgart,9:00-18:00,0.59,37,Ionity,350,Type 2,2020,Yes,3.4,4,Quarterly
EVS00138,43.667051,-79.49562, Stuttgart,6:00-22:00,18.44,98,Tesla,22,"CHAdeMO, CCS",2019,Yes,4.7,2,Quarterly
EVS00139,39.972485,116.200458, Leipzig,6:00-22:00,12.54,94,Ionity,22,Type 2,2016,Yes,5,3,Quarterly
EVS00140,-33.704286,18.454534, Stuttgart,6:00-22:00,6.97,76,Tesla,350,CCS,2011,Yes,4.3,4,Monthly
EVS00141,-50.498253,-91.137594, Frankfurt,6:00-22:00,13.3,87,Tesla,22,"CCS, Type 2",2010,No,4.7,6,Quarterly
EVS00142,39.92592,116.423656, Leipzig,24-Jul,8.57,85,ChargePoint,150,CCS,2022,No,4.4,10,Monthly
EVS00143,-33.77252,18.541711, Stuttgart,6:00-22:00,0.74,14,ChargePoint,50,"Type 2, CCS",2023,No,3.4,8,Monthly
EVS00144,43.654641,-79.348446, Stuttgart,6:00-22:00,14.65,80,Greenlots,150,CCS,2017,Yes,4.1,4,Annually
EVS00145,55.720416,37.545201, Hamburg,24-Jul,10.27,34,Greenlots,350,"CCS, Tesla",2012,Yes,4.4,9,Annually
EVS00146,-23.545409,-46.511423, Frankfurt,24-Jul,18.53,33,Greenlots,50,CHAdeMO,2010,Yes,4.1,3,Annually
EVS00147,13.874673,100.499411, Berlin,6:00-22:00,14.29,42,ChargePoint,350,Tesla,2011,Yes,4.1,9,Quarterly
EVS00148,52.45077,13.404804, Berlin,6:00-22:00,0.64,52,ChargePoint,150,Tesla,2011,No,5,6,Monthly
EVS00149,19.494854,-99.114742, München,24-Jul,10.3,75,Tesla,50,"CHAdeMO, Type 2",2018,Yes,4.8,9,Quarterly
EVS00150,37.769385,-122.409949, Stuttgart,6:00-22:00,13.46,95,EVgo,22,Type 2,2017,No,5,1,Monthly
EVS00151,-13.956652,77.822198, Frankfurt,9:00-18:00,19.37,22,Ionity,50,CCS,2013,Yes,3.2,7,Quarterly
EVS00152,52.489213,13.427218, Berlin,9:00-18:00,11.02,92,Greenlots,22,"CCS, Tesla",2017,No,4.1,3,Monthly
EVS00153,-33.833546,18.554578, Stuttgart,6:00-22:00,7.88,90,ChargePoint,150,"Tesla, CHAdeMO",2015,No,4.6,1,Quarterly
EVS00154,43.646213,-79.323081, Stuttgart,24-Jul,3.85,39,Greenlots,150,"CHAdeMO, Tesla",2019,Yes,4.7,5,Quarterly
EVS00155,25.200341,55.397243, Köln,6:00-22:00,5.51,93,Tesla,50,"Type 2, CCS",2019,Yes,4.3,4,Annually
EVS00156,25.326558,55.384526, Köln,24-Jul,9.78,23,Greenlots,350,"CHAdeMO, Tesla",2020,No,3.7,10,Quarterly
EVS00157,-33.830829,151.307906, München,24-Jul,4.19,18,Tesla,22,Tesla,2022,Yes,4.9,9,Monthly
EVS00158,13.874674,100.504928, Berlin,6:00-22:00,14.81,42,Greenlots,150,CCS,2011,Yes,4.9,4,Monthly
EVS00159,41.810569,-87.627675, Hamburg,9:00-18:00,13.61,41,Greenlots,50,CHAdeMO,2021,No,4,6,Annually
EVS00160,39.990154,116.393454, Leipzig,6:00-22:00,17.32,32,Ionity,350,Tesla,2010,No,4.9,3,Monthly
EVS00161,79.688544,-145.764185, Frankfurt,9:00-18:00,14.91,53,ChargePoint,22,"CCS, Tesla",2016,No,4.9,3,Annually
EVS00162,37.865915,-122.317142, Stuttgart,24-Jul,13.53,30,Ionity,150,CCS,2018,Yes,4.5,3,Annually
EVS00163,55.778004,37.613105, Hamburg,9:00-18:00,18.4,17,Tesla,350,Tesla,2021,No,3.8,1,Quarterly
EVS00164,55.767176,37.663525, Hamburg,6:00-22:00,16.5,52,Greenlots,22,Tesla,2015,Yes,4,2,Annually
EVS00165,34.149479,-118.221804,Frankfurt,9:00-18:00,18.56,100,ChargePoint,50,"CHAdeMO, CCS",2022,Yes,4.2,9,Monthly
EVS00166,39.86551,116.33183, Leipzig,6:00-22:00,16.48,70,Tesla,350,"CCS, CHAdeMO",2013,No,3.7,9,Quarterly
EVS00167,37.56301,127.076728, Stuttgart,24-Jul,4.01,53,EVgo,150,CHAdeMO,2014,Yes,4.7,5,Quarterly
EVS00168,37.703091,-122.413612, Stuttgart,9:00-18:00,16.32,69,Ionity,150,"Tesla, CHAdeMO",2015,Yes,3.4,7,Monthly
EVS00169,34.000561,-118.273892,Frankfurt,6:00-22:00,19.4,37,Ionity,22,CCS,2013,Yes,3.8,1,Monthly
EVS00170,-33.716354,151.310527, München,24-Jul,12.78,94,Greenlots,350,CCS,2012,No,4.6,4,Annually
EVS00171,46.166127,-87.073986, Köln,9:00-18:00,6.24,21,EVgo,150,Type 2,2015,Yes,3.2,5,Annually
EVS00172,37.654957,127.051576, Stuttgart,24-Jul,11.93,35,Tesla,350,"CHAdeMO, Type 2",2017,Yes,4.2,4,Annually
EVS00173,37.831442,-122.304284, Stuttgart,6:00-22:00,11.19,31,ChargePoint,50,Tesla,2017,No,4.3,3,Monthly
EVS00174,52.50332,13.424196, Berlin,24-Jul,7.39,45,ChargePoint,22,"CHAdeMO, Tesla",2016,No,4.8,3,Annually
EVS00175,37.710036,-122.331396, Stuttgart,9:00-18:00,3.08,80,EVgo,150,"Type 2, Tesla",2014,Yes,5,5,Monthly
EVS00176,37.631834,126.962567, Stuttgart,24-Jul,12.86,56,ChargePoint,350,Type 2,2015,No,4.1,4,Annually
EVS00177,41.931228,-87.716399, Hamburg,6:00-22:00,14.74,25,ChargePoint,150,"CHAdeMO, Type 2",2010,Yes,3.4,4,Annually
EVS00178,39.906152,116.318801, Leipzig,9:00-18:00,2.45,56,Greenlots,350,Type 2,2022,No,4.4,9,Annually
EVS00179,19.495854,-99.182497, München,24-Jul,1.96,75,Tesla,150,"CHAdeMO, Type 2",2017,Yes,3.4,3,Annually
EVS00180,55.763502,37.68355, Hamburg,9:00-18:00,19.63,77,EVgo,50,"CHAdeMO, Tesla",2017,Yes,4.3,3,Monthly
EVS00181,-9.607391,161.811368, Stuttgart,6:00-22:00,5.29,79,Ionity,22,"Type 2, Tesla",2019,No,4.4,6,Annually
EVS00182,37.689983,127.09878, Stuttgart,24-Jul,4.23,38,Ionity,22,"Type 2, Tesla",2015,No,4.4,9,Quarterly
EVS00183,-23.584593,-46.502028, Frankfurt,24-Jul,7.58,75,EVgo,350,"Tesla, Type 2",2023,Yes,4.5,3,Monthly
EVS00184,19.435785,-99.162652, München,6:00-22:00,16.86,12,ChargePoint,150,"CCS, CHAdeMO",2022,No,3.3,1,Annually
EVS00185,-23.514985,-46.582148, Frankfurt,9:00-18:00,4.83,13,Greenlots,150,CHAdeMO,2021,No,5,10,Quarterly
EVS00186,19.497968,-99.051454, München,6:00-22:00,11.61,35,Tesla,150,"CCS, CHAdeMO",2020,No,4.1,4,Annually
EVS00187,19.067347,72.861488, Leipzig,6:00-22:00,3.65,23,EVgo,50,Tesla,2011,No,4.4,9,Monthly
EVS00188,43.610363,-79.48986, Stuttgart,24-Jul,18.49,15,Greenlots,22,Type 2,2022,Yes,3.6,2,Quarterly
EVS00189,13.863524,100.491938, Berlin,6:00-22:00,4.24,28,Ionity,22,CHAdeMO,2022,No,3.1,7,Quarterly
EVS00190,13.705385,100.441089, Berlin,24-Jul,19.45,79,Greenlots,350,CCS,2011,No,3.4,7,Annually
EVS00191,-30.463477,72.967255, Hamburg,24-Jul,1.49,78,Ionity,150,"Type 2, Tesla",2017,Yes,4.3,2,Quarterly
EVS00192,19.504212,-99.067726, München,24-Jul,17.85,56,EVgo,50,CHAdeMO,2012,No,3.2,5,Quarterly
EVS00193,19.122767,72.980839, Leipzig,9:00-18:00,11.54,58,ChargePoint,50,Type 2,2011,No,4.9,2,Annually
EVS00194,52.403092,13.4685, Berlin,9:00-18:00,9.22,70,Tesla,350,CHAdeMO,2012,Yes,3.8,7,Quarterly
EVS00195,43.762853,-79.467943, Stuttgart,9:00-18:00,11.94,95,EVgo,150,CHAdeMO,2010,No,3.9,4,Quarterly
EVS00196,-23.518493,-46.619176, Frankfurt,9:00-18:00,8.1,30,ChargePoint,350,Tesla,2023,No,4.3,5,Monthly
EVS00197,55.704517,37.512364, Hamburg,24-Jul,14.41,31,Tesla,50,"CHAdeMO, Tesla",2011,Yes,3.5,7,Monthly
EVS00198,52.52717,13.326888, Berlin,9:00-18:00,4.39,92,EVgo,350,Tesla,2014,Yes,4.8,10,Quarterly
EVS00199,25.303691,55.263575, Köln,24-Jul,5.79,45,Greenlots,150,"Tesla, CHAdeMO",2019,No,4.8,9,Monthly
EVS00200,34.134092,-118.275174,Frankfurt,9:00-18:00,2.22,17,Tesla,350,CCS,2011,Yes,3.3,10,Quarterly
EVS00201,69.714553,92.357163, Berlin,6:00-22:00,19.15,19,Greenlots,150,"Tesla, CCS",2023,No,4.8,7,Monthly
EVS00202,52.432821,13.430675, Berlin,6:00-22:00,10.66,18,Tesla,22,Tesla,2022,No,4.4,10,Quarterly
